ElecStatus,MinimumOverall,InvestmentCost,MinimumOverallLCOE,NumConnections,DemandKWh_Y0,DistNearElecKm,ElecTargetPhase,ElecTargetYear,GridRolloutPhase,LCOE_Grid,LCOE_SHS,LCOE_MG_Solar,LCOE_MG_Hydro,Lat,Lon
electrified,Already Electrified,0.0,0.0,72,7128.45,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,11.664313680335672,3.5782792698111776
electrified,Already Electrified,0.0,0.0,81,8817.4875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.261834254130587,2.1774405000171457
electrified,Already Electrified,0.0,0.0,47,3722.635,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.6574128801588826,2.1105345666876327
electrified,Already Electrified,0.0,0.0,43,4652.38125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,7.2004272871385275,2.3278369883138827
electrified,Already Electrified,0.0,0.0,25,2672.7125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.8157711096719185,2.6243413355797345
electrified,Already Electrified,0.0,0.0,16,1584.1,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,10.343799580037839,1.0008915377887115
electrified,Already Electrified,0.0,0.0,25,2475.15625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.5823238474115975,1.8865548634082867
electrified,Already Electrified,0.0,0.0,31,3464.30625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.564769690271141,2.1849028947207962
unelectrified,SHS,2100.0,0.6265136872999727,14,1386.0875,0.010899887163956953,Phase 3 (→2040),2040.0,N/A,0.5385719159573886,0.6265136872999727,inf,inf,11.320390228894858,2.6508906026704375
electrified,Already Electrified,0.0,0.0,24,1900.92,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,9.030063770734332,2.5154837241857044
electrified,Already Electrified,0.0,0.0,226,23758.30625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,6.99939363037179,1.7612235699766408
